pca_dimension,label,pair_order,sae_feature_id,pca_feature_id,absolute_auc_difference,sae_spearman,pca_spearman,sae_minus_pca_spearman,sae_pair_accuracy,pca_pair_accuracy
50,AF,1,F026,F017,0.0005728006362915,0.6955299460555993,0.3184047280837963,0.377125217971803,0.6,0.6
50,AF,2,F036,F037,0.000431478023529,0.8498068289354102,0.4724955556031601,0.37731127333225006,0.92,0.72
50,AF,3,F031,F028,0.0076225399971008,0.6511355973286902,0.323230392919912,0.3279052044087782,0.84,0.76
50,AF,4,F012,F035,0.0033628344535827,0.5300418543261438,0.1008277185355036,0.4292141357906402,0.88,0.8
50,QUC,1,F042,F019,0.0011715292930603,0.7593982346818451,0.3250565254278921,0.434341709253953,0.96,0.56
50,QUC,2,F022,F020,0.0042682290077209,0.5720988326579589,0.3032356012672235,0.2688632313907354,0.76,0.56
50,QUC,3,F003,F027,0.0162590742111206,0.7120179128294883,0.7535046837681826,-0.04148677093869424,0.94,1.0
50,QUC,4,F046,F048,0.0023168921470642,0.1330688096696771,0.1323308270676691,0.0007379826020079971,0.7,0.68
50,QUO,1,F024,F002,3.659725189208984e-05,0.7399802441733173,0.455572805801214,0.2844074383721033,0.92,0.56
50,QUO,2,F039,F041,0.0033349990844726,0.8785027356092516,-0.3117269351977096,1.1902296708069613,0.92,0.4
50,QUO,3,F004,F033,0.0007081031799316,0.7997812955598367,0.0300978264285085,0.7696834691313281,0.92,0.54
50,QUO,4,F008,F001,0.0023308396339416,-0.0079771859624557,0.5022556390977443,-0.5102328250602,0.56,0.6
50,REC,1,F038,F043,0.0015077590942382,0.65224915246917,0.388115860466923,0.26413329200224706,0.92,0.64
50,REC,2,F025,F021,0.0079599618911743,0.5522307616084845,0.909364487024244,-0.3571337254157595,0.78,1.0
50,REC,3,F029,F005,0.003467321395874,0.7997256937330807,0.8077165790844756,-0.007990885351394916,1.0,0.92
50,REC,4,F034,F015,0.0022422075271606,0.2762434488699183,0.2895825703096228,-0.013339121439704504,0.72,0.64
100,AF,1,F026,F023,0.0005728006362915,0.6955299460555993,0.4911621257459315,0.20436782030966777,0.6,0.64
100,AF,2,F036,F032,0.000431478023529,0.8498068289354102,-0.0902595024341681,0.9400663313695783,0.92,0.54
100,AF,3,F031,F006,0.0076225399971008,0.6511355973286902,0.0015048913214254,0.6496307060072648,0.84,0.44
100,AF,4,F012,F030,0.0033628344535827,0.5300418543261438,0.2489657942142471,0.2810760601118967,0.88,0.74
100,QUC,1,F042,F018,0.0011715292930603,0.7593982346818451,0.4631578947368421,0.296240339945003,0.96,0.72
100,QUC,2,F022,F007,0.0042682290077209,0.5720988326579589,-0.0171727275782437,0.5892715602362026,0.76,0.64
100,QUC,3,F003,F047,0.0162590742111206,0.7120179128294883,0.8920267750784837,-0.18000886224899537,0.94,1.0
100,QUC,4,F046,F014,0.0023168921470642,0.1330688096696771,0.0812030075187969,0.0518658021508802,0.7,0.52
100,QUO,1,F024,F040,3.659725189208984e-05,0.7399802441733173,0.4182351430961235,0.32174510107719384,0.92,0.88
100,QUO,2,F039,F045,0.0033349990844726,0.8785027356092516,0.4069199234740413,0.4715828121352103,0.92,0.84
100,QUO,3,F004,F009,0.0007081031799316,0.7997812955598367,0.5097744360902255,0.29000685946961113,0.92,0.8
100,QUO,4,F008,F010,0.0023308396339416,-0.0079771859624557,0.2361790313694066,-0.2441562173318623,0.56,0.68
100,REC,1,F038,F016,0.0015077590942382,0.65224915246917,0.0030303899917778,0.6492187624773922,0.92,0.52
100,REC,2,F025,F013,0.0079599618911743,0.5522307616084845,0.8815344737737089,-0.32930371216522436,0.78,1.0
100,REC,3,F029,F011,0.003467321395874,0.7997256937330807,0.3295711993921684,0.4701544943409123,1.0,0.78
100,REC,4,F034,F044,0.0022422075271606,0.2762434488699183,0.1488721804511278,0.1273712684187905,0.72,0.72
