representation,top_n,selection,n_features_mean,macro_auc,macro_average_precision,macro_f1,macro_balanced_accuracy
Hidden State,-1,baseline,4096.0,0.8865101081272816,0.6416658666667405,0.605842323552855,0.7916878641382086
Full SAE,-1,baseline,32768.0,0.8761506565679867,0.5506710111870328,0.5289857589760644,0.7986281875606833
Stable Core SAE,-1,baseline,32.57142857142857,0.8527836266777283,0.5567842146851356,0.48447307789765215,0.7891858054399034
Top-n SAE,100,best_macro_auc,100.0,0.8654874295177482,0.5443064856736927,0.49965043299427336,0.7913443643564776
PCA-n,100,best_macro_auc,100.0,0.9207086936674619,0.6406623680022683,0.5531778082041908,0.8375825352056834
Random SAE-n,200,best_macro_auc,200.0,0.7409262221535042,0.2954296807776489,0.32452844299085504,0.6842623954621665
