label,n_stable_edges,n_scored_edges,coverage,mean_spearman,mean_pearson_log_activation,mean_positive_vs_zero_auroc,mean_high_vs_weak_pair_accuracy
RES,14,14,1.0,0.5301420007734018,0.5152982393772797,0.7514285714285714,0.7928571428571428
REC,46,46,1.0,0.6343153310955207,0.6263026939936873,0.8560869565217392,0.792608695652174
QUO,42,42,1.0,0.6964089349060979,0.7037568296858696,0.8746031746031746,0.8576190476190476
QUC,40,40,1.0,0.6456942703475758,0.6386816322421471,0.8798333333333334,0.7835
GI,26,22,0.8461538461538461,0.5032695331136627,0.5331754147704576,0.8354545454545454,0.6627272727272727
SU,17,15,0.8823529411764706,0.5576604834249829,0.518735384871488,0.7653333333333333,0.796
AF,43,38,0.8837209302325582,0.6179834448739236,0.6019118691761589,0.8552631578947368,0.7721052631578947
