label,n_associations,n_unique_latents,mean_confidence,confidence_ge_4_rate,mean_support_fraction,n_clear_explanations,mean_clear_pattern_support_fraction,low_support_rate,high_confidence_low_support_rate,behavioral_function_rate,linguistic_structure_rate,affective_content_rate,topic_rate,surface_artifact_rate,unclear_or_mixed_rate,mean_word_count,very_short_sample_rate,fragment_like_sample_rate,transcription_noise_sample_rate,near_duplicate_sample_rate
AF,27,27,3.888888888888889,0.8518518518518519,0.8933333333333331,27,0.8933333333333331,0.14814814814814814,0.037037037037037035,0.5185185185185185,0.25925925925925924,0.2222222222222222,0.0,0.0,0.0,13.125925925925927,0.06814814814814815,0.06222222222222222,0.00962962962962963,0.044444444444444446
GI,26,26,3.6538461538461537,0.6923076923076923,0.91,26,0.91,0.19230769230769232,0.07692307692307693,0.23076923076923078,0.11538461538461539,0.0,0.6538461538461539,0.0,0.0,22.146923076923077,0.005384615384615384,0.04692307692307692,0.008461538461538461,0.07769230769230769
QU,26,26,4.038461538461538,0.9615384615384616,0.9415384615384617,26,0.9415384615384617,0.038461538461538464,0.0,0.7307692307692307,0.2692307692307692,0.0,0.0,0.0,0.0,15.257692307692308,0.027692307692307693,0.10230769230769231,0.009230769230769232,0.03538461538461538
QUC,45,45,4.0,0.9333333333333333,0.9391111111111111,43,0.9362790697674418,0.06976744186046512,0.046511627906976744,0.6666666666666666,0.28888888888888886,0.0,0.0,0.0,0.044444444444444446,17.57911111111111,0.02666666666666667,0.07066666666666667,0.004888888888888889,0.027555555555555555
QUO,32,32,4.0,0.96875,0.9356249999999999,32,0.9356249999999999,0.0625,0.03125,0.6875,0.3125,0.0,0.0,0.0,0.0,16.309375,0.01625,0.100625,0.009375,0.04125
RE,54,54,3.9074074074074074,0.9074074074074074,0.9288888888888889,51,0.9247058823529412,0.13725490196078433,0.09803921568627451,0.5370370370370371,0.3888888888888889,0.0,0.0,0.018518518518518517,0.05555555555555555,20.209629629629628,0.014444444444444444,0.05962962962962963,0.00962962962962963,0.03888888888888889
REC,47,47,3.893617021276596,0.9148936170212766,0.926808510638298,44,0.9218181818181818,0.13636363636363635,0.11363636363636363,0.6170212765957447,0.2978723404255319,0.0,0.0,0.02127659574468085,0.06382978723404255,23.157446808510638,0.006382978723404255,0.05914893617021277,0.010212765957446808,0.03702127659574468
RES,15,15,3.4,0.6666666666666666,0.9173333333333333,11,0.9527272727272726,0.0,0.0,0.4666666666666667,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,15.084,0.05466666666666667,0.072,0.012,0.02
SU,31,31,3.7096774193548385,0.7419354838709677,0.9193548387096775,28,0.9185714285714285,0.10714285714285714,0.0,0.5806451612903226,0.16129032258064516,0.16129032258064516,0.0,0.0,0.0967741935483871,16.57741935483871,0.03483870967741935,0.10258064516129033,0.014838709677419355,0.03612903225806452
