feature_id,latent_idx,spearman_rho,pearson_log_activation,positive_vs_zero_auroc,high_vs_weak_pair_accuracy
F027,3805,0.18085362232488655,0.1175526757176179,0.7533333333333334,0.30000000000000004
F028,19005,0.8189302135100733,0.7972497720549316,0.9466666666666667,1.0
F029,7054,0.6683034473938809,0.6596167357321825,0.8,0.8600000000000001
F030,28688,0.8189923768320843,0.8721150378007116,0.9933333333333334,1.0
F031,2089,0.6585517250321443,0.2553353718603669,0.9800000000000001,0.72
F032,30091,0.4073122879606277,0.4106249483220581,0.78,0.64
F033,22558,0.777396009322134,0.8033216870970676,0.9533333333333334,0.9
F034,111,0.5815350350866437,0.5095016961890301,1.0,0.48
F035,12852,0.2428019511244029,0.20746281915230752,0.5933333333333334,0.74
F036,14875,0.9436794498892882,0.8816197255315463,1.0,1.0
F037,5663,0.8690501666394389,0.8993263892272472,1.0,1.0
F038,11405,0.60496081496844,0.6263373529641831,0.76,0.84
F039,31867,0.8797605450844702,0.8852396143937887,0.9733333333333334,1.0
F040,26968,0.5633822817817787,0.5942530541513886,0.76,0.78
F041,8034,0.5776211295358815,0.26885091732809596,0.9400000000000001,0.62
F042,13169,0.6869037446412347,0.6573335283379271,0.8666666666666667,0.84
F043,32596,0.5073435849047733,0.28346769803623684,0.72,0.8200000000000001
F044,1455,0.5633217243580987,0.6114768961273225,0.9266666666666666,0.68
F045,4018,0.628710475255498,0.5913478319145287,0.76,0.96
F046,3416,0.7408089672571476,0.7806693653845737,0.9733333333333334,0.8
F047,8583,0.698040173005082,0.748076154480669,0.86,0.92
F048,31915,0.5528244782783142,0.5187000841904107,0.8333333333333334,0.72
