label,fold,fold_status,candidate_pool_size,n_train,n_val,val_prevalence,full_auc,full_average_precision,full_balanced_accuracy,full_f1,full_precision_lift_at_50,selected_k,selected_latents,selected_auc,selected_average_precision,selected_precision_lift_at_50
RES,1,minimal_sufficient_found,200,4014,1004,0.08266932270916334,0.854348992059443,0.41189333737103634,0.748315738524129,0.3696369636963696,0.39733067729083665,16,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508",0.8978323718326073,0.3854699648960274,0.3573306772908367
RES,2,minimal_sufficient_found,200,4014,1004,0.08266932270916334,0.8802768075559567,0.4738165947937742,0.805351699959447,0.40483383685800606,0.4373306772908367,20,"20808,13430,2462,19435,5032,252,19013,32727,14836,6743,12337,2013,11660,13303,28035,5663,28931,19179,16969,31246",0.8999254346375731,0.45496113471809785,0.39733067729083665
RES,3,minimal_sufficient_found,200,4014,1004,0.08366533864541832,0.896687370600414,0.47728188890169143,0.7848343685300208,0.42214532871972316,0.49633466135458165,13,"1137,11660,26263,9959,8023,31585,6743,28269,27859,20028,2462,19179,1107",0.9113871635610766,0.4748314074228807,0.4563346613545817
RES,4,minimal_sufficient_found,200,4015,1003,0.08275174476570289,0.8916186485070717,0.44526182292749306,0.8244041382922996,0.42168674698795183,0.4172482552342971,16,"29759,11435,11660,983,6743,8468,23183,2462,32490,6623,8104,2013,2342,8089,2068,29701",0.9020298585646935,0.4330396972891732,0.3772482552342971
RES,5,minimal_sufficient_found,200,4015,1003,0.08275174476570289,0.8592587742273442,0.38330744388829063,0.7472236773179675,0.3525835866261398,0.3572482552342971,20,"1137,11660,28269,2342,9959,31701,6623,29810,2462,2767,13303,22036,24943,11339,28066,8089,19038,26511,28215,5042",0.8844683080146674,0.3548197346654433,0.3372482552342971
REC,1,minimal_sufficient_found,200,4014,1004,0.16533864541832669,0.9261149610374673,0.7475388260552925,0.8373278316128476,0.6616541353383458,0.6946613545816733,15,"12852,15068,29759,26800,11405,29590,20436,9403,19901,11660,8085,9993,664,30091,10181",0.9197745636483883,0.7249243367912825,0.7146613545816733
REC,2,minimal_sufficient_found,200,4014,1004,0.16533864541832669,0.8760171952727377,0.6102392414723128,0.785159732006786,0.5694444444444444,0.6146613545816734,7,"9993,664,31930,31133,20436,19005,13430",0.8569744371279869,0.5883144629276108,0.6146613545816734
REC,3,minimal_sufficient_found,200,4014,1004,0.16533864541832669,0.9238649107168531,0.734699684147433,0.8427840239238578,0.6617647058823529,0.7746613545816733,20,"11636,29759,16292,9993,9959,9403,16164,9537,11660,28676,20436,12117,25871,29874,29845,4951,7054,19796,15992,28862",0.9367757425884924,0.7535637575829506,0.7346613545816734
REC,4,minimal_sufficient_found,200,4015,1003,0.16450648055832504,0.9123092500180806,0.7156373135891553,0.8187603963260288,0.6175771971496437,0.735493519441675,15,"23242,11660,19435,26947,10181,16118,21800,11405,12370,1572,27061,13312,5569,26319,4082",0.9050263976278297,0.6948732971264431,0.7154935194416749
REC,5,minimal_sufficient_found,200,4015,1003,0.16550348953140578,0.9207151185386708,0.7644542575098837,0.8583905514531243,0.6746411483253588,0.7544965104685942,19,"17861,26800,11660,2149,20436,26319,19005,9959,30091,10900,10111,20813,5569,29590,22558,15992,5941,2833,25871",0.9228958846137237,0.7402548095461099,0.7744965104685941
QUO,1,minimal_sufficient_found,200,4014,1004,0.22609561752988047,0.95688262208086,0.8912107446728086,0.8831833721701563,0.7894736842105263,0.7539043824701195,11,"664,12544,22317,20564,8191,11071,15679,6129,5828,21190,23183",0.954847232380272,0.8682633251507726,0.7339043824701195
