label,latent_idx,final_selected,selection_count,selection_frequency,mean_selected_step,candidate_order,candidate_source,edge_type,stable_edge,positive_support,negative_boundary,association_rank,directional_auc,abs_cohens_d,formal_edge_weight
RES,28961,False,0,0.0,,55,filtered_top200,filtered_topk,False,False,False,55,0.5633123,0.31355238,0.0
RES,18310,False,0,0.0,,56,filtered_top200,filtered_topk,False,False,False,56,0.55861795,0.31009954,0.0
RES,2071,False,0,0.0,,57,filtered_top200,filtered_topk,False,False,False,57,0.5887015,0.3087646,0.0
RES,29810,False,1,0.2,8.0,58,filtered_top200,filtered_topk,False,False,False,58,0.5619403,0.30763286,0.0
RES,3156,False,0,0.0,,59,filtered_top200,filtered_topk,False,False,False,59,0.5651232,0.30734652,0.0
RES,14602,False,0,0.0,,60,filtered_top200,filtered_topk,False,False,False,60,0.52428395,0.30695945,0.0
RES,20028,True,2,0.4,9.5,61,filtered_top200,filtered_topk,False,False,False,61,0.5520071,0.30692723,0.0
RES,7140,False,0,0.0,,62,filtered_top200,filtered_topk,False,False,False,62,0.5211572,0.3065039,0.0
RES,19470,False,0,0.0,,63,filtered_top200,filtered_topk,False,False,False,63,0.56067383,0.30526546,0.0
RES,16320,False,1,0.2,6.0,64,filtered_top200,filtered_topk,False,False,False,64,0.5330341,0.30506244,0.0
RES,8226,False,0,0.0,,65,filtered_top200,filtered_topk,False,False,False,65,0.5800091,0.30137396,0.0
RES,1976,False,0,0.0,,66,filtered_top200,filtered_topk,False,False,False,66,0.55204153,0.29821813,0.0
RES,16256,False,0,0.0,,67,filtered_top200,filtered_topk,False,False,False,67,0.57775104,0.29771364,0.0
RES,8658,False,0,0.0,,68,filtered_top200,filtered_topk,False,False,False,68,0.54501545,0.29640993,0.0
RES,3459,False,0,0.0,,69,filtered_top200,filtered_topk,False,False,False,69,0.5562172,0.29580614,0.0
RES,29191,False,0,0.0,,70,filtered_top200,filtered_topk,False,False,False,70,0.55215204,0.29516166,0.0
RES,19079,False,0,0.0,,71,filtered_top200,filtered_topk,False,False,False,71,0.5238021,0.29480442,0.0
RES,6623,True,3,0.6,10.666666666666666,72,filtered_top200,filtered_topk,False,False,False,72,0.547956,0.29411516,0.0
RES,11169,False,0,0.0,,73,filtered_top200,filtered_topk,False,False,False,73,0.5657843,0.29369694,0.0
RES,31701,False,1,0.2,6.0,74,filtered_top200,filtered_topk,False,False,False,74,0.5515665,0.2929698,0.0
RES,27859,False,1,0.2,9.0,75,filtered_top200,filtered_topk,False,False,False,75,0.55473083,0.29276666,0.0
RES,22285,False,0,0.0,,76,filtered_top200,filtered_topk,False,False,False,76,0.55230194,0.29257026,0.0
RES,23990,False,0,0.0,,77,filtered_top200,filtered_topk,False,False,False,77,0.56540084,0.2908804,0.0
RES,5860,False,0,0.0,,78,filtered_top200,filtered_topk,False,False,False,78,0.56539774,0.29043242,0.0
RES,8023,False,1,0.2,5.0,79,filtered_top200,filtered_topk,False,False,False,79,0.50870544,0.28977636,0.0
RES,19892,False,0,0.0,,80,filtered_top200,filtered_topk,False,False,False,80,0.51286364,0.28930512,0.0
RES,2706,False,0,0.0,,81,filtered_top200,filtered_topk,False,False,False,81,0.554541,0.2885911,0.0
RES,31813,False,0,0.0,,82,filtered_top200,filtered_topk,False,False,False,82,0.5591332,0.28841966,0.0
RES,6349,False,0,0.0,,83,filtered_top200,filtered_topk,False,False,False,83,0.5157804,0.28840327,0.0
RES,31956,False,0,0.0,,84,filtered_top200,filtered_topk,False,False,False,84,0.5470009,0.28526288,0.0
RES,9888,False,0,0.0,,85,filtered_top200,filtered_topk,False,False,False,85,0.5605117,0.28469947,0.0
RES,14836,False,1,0.2,9.0,86,filtered_top200,filtered_topk,False,False,False,86,0.50666827,0.2846358,0.0
RES,32273,False,0,0.0,,87,filtered_top200,filtered_topk,False,False,False,87,0.57077193,0.28437948,0.0
RES,30030,False,0,0.0,,88,filtered_top200,filtered_topk,False,False,False,88,0.5473075,0.28374332,0.0
RES,21203,False,0,0.0,,89,filtered_top200,filtered_topk,False,False,False,89,0.54761755,0.2825562,0.0
RES,28548,False,0,0.0,,90,filtered_top200,filtered_topk,False,False,False,90,0.5639456,0.28106523,0.0
RES,846,False,1,0.2,13.0,91,filtered_top200,filtered_topk,False,False,False,91,0.51279336,0.27933088,0.0
RES,26485,False,0,0.0,,92,filtered_top200,filtered_topk,False,False,False,92,0.5662923,0.27907994,0.0
RES,19038,False,1,0.2,17.0,93,filtered_top200,filtered_topk,False,False,False,93,0.550328,0.2786707,0.0
RES,23888,False,0,0.0,,94,filtered_top200,filtered_topk,False,False,False,94,0.5663142,0.2783293,0.0
RES,2342,True,2,0.4,8.5,95,filtered_top200,filtered_topk,False,False,False,95,0.5503719,0.27826515,0.0
RES,10913,False,0,0.0,,96,filtered_top200,filtered_topk,False,False,False,96,0.5161181,0.27771166,0.0
RES,22903,False,0,0.0,,97,filtered_top200,filtered_topk,False,False,False,97,0.56936574,0.27721953,0.0
RES,25414,False,0,0.0,,98,filtered_top200,filtered_topk,False,False,False,98,0.5655333,0.27657002,0.0
RES,24984,False,0,0.0,,99,filtered_top200,filtered_topk,False,False,False,99,0.55689365,0.2763381,0.0
