label,fold,step_k,latent_added,selected_latents,n_selected,full_auc,full_average_precision,full_precision_lift_at_50,auc,average_precision,balanced_accuracy,f1,precision_at_50,precision_lift_at_50,is_sufficient
RES,1,1,13430,13430,1,0.854348992059443,0.41189333737103634,0.39733067729083665,0.6185262221524535,0.108957812854031,0.5,0.0,0.1,0.017330677290836663,False
RES,1,2,31585,"13430,31585",2,0.854348992059443,0.41189333737103634,0.39733067729083665,0.7060031657574926,0.1459136573479994,0.5,0.0,0.22,0.13733067729083664,False
RES,1,3,8104,"13430,31585,8104",3,0.854348992059443,0.41189333737103634,0.39733067729083665,0.7532409769370643,0.17189539407470625,0.5,0.0,0.26,0.17733067729083668,False
RES,1,4,29759,"13430,31585,8104,29759",4,0.854348992059443,0.41189333737103634,0.39733067729083665,0.7817458760121921,0.21344315867143665,0.5,0.0,0.16,0.07733067729083666,False
RES,1,5,2068,"13430,31585,8104,29759,2068",5,0.854348992059443,0.41189333737103634,0.39733067729083665,0.7986473581622908,0.22731415605014968,0.5,0.0,0.18,0.09733067729083665,False
RES,1,6,16320,"13430,31585,8104,29759,2068,16320",6,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8138351451408239,0.26096204677603974,0.5,0.0,0.3,0.21733067729083666,False
RES,1,7,28670,"13430,31585,8104,29759,2068,16320,28670",7,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8267859712465497,0.27545824717452533,0.5,0.0,0.34,0.2573306772908367,False
RES,1,8,21803,"13430,31585,8104,29759,2068,16320,28670,21803",8,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8373036118415028,0.2941297923944832,0.5,0.0,0.34,0.2573306772908367,False
RES,1,9,20028,"13430,31585,8104,29759,2068,16320,28670,21803,20028",9,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8496396007482699,0.2968475210347751,0.5,0.0,0.36,0.27733067729083666,False
RES,1,10,2462,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462",10,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8609421398950853,0.30736596850190917,0.5,0.0,0.34,0.2573306772908367,False
RES,1,11,11660,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660",11,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8692489829022932,0.31977805631697565,0.5,0.0,0.36,0.27733067729083666,False
RES,1,12,29484,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484",12,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8744816399147077,0.33527047217524,0.5,0.0,0.34,0.2573306772908367,False
RES,1,13,846,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846",13,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8873278128801853,0.36349396035586323,0.5,0.0,0.38,0.2973306772908367,False
RES,1,14,28269,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269",14,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8913438771372133,0.37737985820460407,0.5,0.0,0.42,0.33733067729083666,False
RES,1,15,6623,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623",15,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8946273694125034,0.38112245357826297,0.5,0.0,0.42,0.33733067729083666,False
RES,1,16,27508,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508",16,0.854348992059443,0.41189333737103634,0.39733067729083665,0.8978323718326073,0.3854699648960274,0.5,0.0,0.44,0.3573306772908367,True
RES,1,17,7857,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508,7857",17,0.854348992059443,0.41189333737103634,0.39733067729083665,0.900971966040056,0.39709456973812707,0.5,0.0,0.46,0.3773306772908367,True
RES,1,18,6885,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508,7857,6885",18,0.854348992059443,0.41189333737103634,0.39733067729083665,0.9040199887497874,0.4018793006512034,0.5,0.0,0.46,0.3773306772908367,True
RES,1,19,14602,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508,7857,6885,14602",19,0.854348992059443,0.41189333737103634,0.39733067729083665,0.9066101539709326,0.422175756879986,0.5,0.0,0.5,0.41733067729083667,True
RES,1,20,983,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508,7857,6885,14602,983",20,0.854348992059443,0.41189333737103634,0.39733067729083665,0.9099198095312847,0.430755057094211,0.5,0.0,0.5,0.41733067729083667,True
RES,1,21,21203,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508,7857,6885,14602,983,21203",21,0.854348992059443,0.41189333737103634,0.39733067729083665,0.9142105882814646,0.43890775359509315,0.5,0.0,0.52,0.4373306772908367,True
RES,1,22,4915,"13430,31585,8104,29759,2068,16320,28670,21803,20028,2462,11660,29484,846,28269,6623,27508,7857,6885,14602,983,21203,4915",22,0.854348992059443,0.41189333737103634,0.39733067729083665,0.9161859163036511,0.4423695841573871,0.5,0.0,0.52,0.4373306772908367,True
