label,label_role,n_samples,n_positive,n_negative,prevalence,candidate_pool_size,n_stable_candidates,n_positive_support_candidates,n_negative_boundary_candidates,formal_status,full_auc_mean,full_auc_std,full_average_precision_mean,full_f1_mean,full_precision_lift_at_50_mean,minimal_k_mean,minimal_k_median,minimal_k_std,n_sufficient_folds,mean_pairwise_jaccard_between_folds,stability_status,final_selected_k,final_selected_latents,predictive_redundancy_ratio,activation_overlap_redundancy,positive_coverage,mean_pairwise_activation_jaccard,fragmentation_class
RES,leaf_or_atomic,5018,416,4602,0.08290155440414508,200,0,0,0,minimal_sufficient_found,0.876438118590046,0.016960398651773453,0.4383122175764571,0.3941772925776381,0.42109850528096987,17.0,16.0,2.6832815729997477,5,0.1454270137112184,unstable,16,"11660,2462,6743,28269,6623,1137,13430,29759,31585,9959,8104,2342,20028,2068,2013,13303",0.3125,0.6074468085106384,0.8870192307692307,0.04534049154770221,distributed
REC,leaf_or_atomic,5018,829,4189,0.16520526106018335,200,0,0,0,minimal_sufficient_found,0.9118042871167619,0.01849663686458619,0.7145138645548155,0.6370163262280292,0.7147948187310578,15.2,15.0,4.578209256903839,5,0.1044664422840346,unstable,15,"11660,20436,9993,29759,26800,19005,11405,9959,9403,664,10181,26319,29590,30091,5569",0.3333333333333333,0.7796291319537758,0.9891435464414958,0.14852033612922613,distributed
QUO,leaf_or_atomic,5018,1134,3884,0.22598644878437624,200,0,0,0,minimal_sufficient_found,0.9521939767156086,0.0035353668609225232,0.8739417835546044,0.7870404799878484,0.750013616520955,10.8,11.0,1.8330302779823362,5,0.2961880246516469,unstable,11,"664,21190,18310,13430,14247,8890,15679,19840,22553,14833,6129",0.2727272727272727,0.751162275846801,0.9911816578483245,0.18916084455092347,distributed
QUC,leaf_or_atomic,5018,687,4331,0.13690713431646073,200,0,0,0,minimal_sufficient_found,0.9106356326304622,0.01917616616006485,0.6807987083372325,0.6512902359389138,0.6830929919405132,25.6,13.0,25.16028616689405,5,0.2129035026084199,unstable,13,"13430,21935,22358,29947,5413,9959,20402,8226,2386,26485,6100,1622,4998",0.15384615384615385,0.7831900668576887,0.9912663755458515,0.18649324172417323,distributed
GI,leaf_or_atomic,5018,604,4414,0.12036667995217218,200,0,0,0,minimal_sufficient_found,0.8674164036607597,0.008733961567306735,0.5607253294534645,0.49499995631957905,0.5916334105253959,12.8,13.0,2.9257477676655586,5,0.1177657239201467,unstable,13,"13430,664,9893,17827,2055,13751,16515,31844,18490,8166,26879,9728,16131",0.07692307692307693,0.47534246575342465,0.6341059602649006,0.06245348071925467,distributed
SU,leaf_or_atomic,5018,147,4871,0.029294539657233956,200,0,0,0,minimal_sufficient_found,0.8577876531644145,0.043584247537804016,0.40724481116576144,0.3733738250973113,0.3067056122469246,7.0,4.0,5.549774770204643,5,0.0327485380116959,unstable,4,"2995,24760,2699,21178",0.0,0.22972972972972971,0.7755102040816326,0.0732835710471632,moderate
AF,leaf_or_atomic,5018,265,4753,0.05280988441610203,200,0,0,0,minimal_sufficient_found,0.8882062742714771,0.04080400488454366,0.5668852339358773,0.49717535162600185,0.5391901029977795,6.4,6.0,2.33238075793812,5,0.17936924186924186,unstable,6,"23464,13430,7143,21144,24167,28724",0.0,0.54,0.8679245283018868,0.1498898271620286,moderate
