label,latent_idx,full_selected_auc,loo_auc,delta_auc,full_selected_average_precision,loo_average_precision,delta_average_precision,redundancy_role
RES,11660,0.856929888342861,0.8456994032694815,0.011230485073379537,0.3284502131068656,0.32235492515037145,0.0060952879564941664,essential
RES,2462,0.856929888342861,0.8501712257212584,0.006758662621602629,0.3284502131068656,0.31900783118689974,0.009442381919965881,essential
RES,6743,0.856929888342861,0.8523478504329222,0.00458203790993883,0.3284502131068656,0.31909127035177837,0.009358942755087252,essential
RES,28269,0.856929888342861,0.8503691956674355,0.006560692675425472,0.3284502131068656,0.29743955253351545,0.03101066057335017,essential
RES,6623,0.856929888342861,0.8541969628589576,0.002732925483903359,0.3284502131068656,0.32571455475553046,0.0027356583513351573,redundant
RES,1137,0.856929888342861,0.8547976632233477,0.0021322251195132758,0.3284502131068656,0.3187682788932269,0.009681934213638721,essential
RES,13430,0.856929888342861,0.8555232047939023,0.001406683548958676,0.3284502131068656,0.3314358338375311,-0.0029856207306654947,redundant
RES,29759,0.856929888342861,0.8486000025072711,0.008329885835589912,0.3284502131068656,0.3109848577713135,0.017465355335552102,essential
RES,31585,0.856929888342861,0.8509500468023936,0.005979841540467379,0.3284502131068656,0.3053620127219524,0.023088200384913216,essential
RES,9959,0.856929888342861,0.8523927723732156,0.0045371159696453445,0.3284502131068656,0.32518049735229804,0.0032697157545675815,redundant
RES,8104,0.856929888342861,0.8509803429946846,0.005949545348176377,0.3284502131068656,0.30977510045810785,0.018675112648757763,essential
RES,2342,0.856929888342861,0.8560748044328553,0.0008550839100056606,0.3284502131068656,0.3270631565884293,0.0013870565184362915,redundant
RES,20028,0.856929888342861,0.8520041453548625,0.004925742987998527,0.3284502131068656,0.3172288123514134,0.011221400755452193,essential
RES,2068,0.856929888342861,0.8519122120817036,0.0050176762611573444,0.3284502131068656,0.3236498233740294,0.004800389732836197,essential
RES,2013,0.856929888342861,0.8535576087319894,0.003372279610871609,0.3284502131068656,0.3139692017581748,0.014481011348690842,essential
RES,13303,0.856929888342861,0.8544215725604253,0.0025083157824357105,0.3284502131068656,0.32556076131785,0.002889451789015618,redundant
REC,11660,0.8915500732719187,0.8886932027445078,0.002856870527410904,0.638550742472928,0.6327632157031956,0.005787526769732376,essential
REC,20436,0.8915500732719187,0.8859256004222674,0.005624472849651285,0.638550742472928,0.609631900500174,0.02891884197275396,essential
REC,9993,0.8915500732719187,0.8837581108083351,0.0077919624635836016,0.638550742472928,0.6254753066516244,0.01307543582130355,essential
REC,29759,0.8915500732719187,0.8839458620011456,0.0076042112707731535,0.638550742472928,0.62480141261082,0.013749329862107973,essential
REC,26800,0.8915500732719187,0.8739630850055043,0.01758698826641436,0.638550742472928,0.6142609787470384,0.024289763725889535,essential
REC,19005,0.8915500732719187,0.8901566253854011,0.0013934478865176292,0.638550742472928,0.6347512119722707,0.003799530500657289,redundant
REC,11405,0.8915500732719187,0.890041728566488,0.0015083447054307086,0.638550742472928,0.6353906194687525,0.0031601230041754524,redundant
REC,9959,0.8915500732719187,0.8901295569618978,0.0014205163100209361,0.638550742472928,0.6355269806546183,0.003023761818309656,redundant
REC,9403,0.8915500732719187,0.8901756308742439,0.0013744423976748132,0.638550742472928,0.6328570541323308,0.005693688340597136,essential
REC,664,0.8915500732719187,0.8892270842038184,0.002322989068100356,0.638550742472928,0.6376750375437207,0.0008757049292072994,redundant
REC,10181,0.8915500732719187,0.8877717244975856,0.00377834877433314,0.638550742472928,0.6284432566772619,0.010107485795666116,essential
REC,26319,0.8915500732719187,0.887160093311191,0.004389979960727763,0.638550742472928,0.6273597535498574,0.011190988923070577,essential
REC,29590,0.8915500732719187,0.8905332796188306,0.001016793653088155,0.638550742472928,0.6374531249323306,0.0010976175405973398,redundant
REC,30091,0.8915500732719187,0.8881005770469559,0.0034494962249628225,0.638550742472928,0.6200991404317067,0.018451602041221316,essential
