label,step_k,auc_mean,auc_std,average_precision_mean,f1_mean,precision_lift_at_50_mean,n_folds
AF,1,0.8002016463096913,0.0397378058301115,0.36239718002802623,0.0,0.3591901029977796,5
AF,2,0.8696032671405316,0.03243841259575039,0.4088086821873265,0.0,0.39919010299777963,5
AF,3,0.8993769543792819,0.024299389949343955,0.4755439669540694,0.16123995407577496,0.4391901029977795,5
AF,4,0.915820077543421,0.022448059068065563,0.5203134709834407,0.17010989010989014,0.48319010299777954,5
AF,5,0.9289480680452396,0.021504650775441697,0.5392516711566221,0.18021321961620468,0.48319010299777965,5
AF,6,0.9386612701624903,0.020249514870105075,0.5737144107658652,0.2390845563466797,0.5231901029977796,5
AF,7,0.9466199443015609,0.018158821523622505,0.6015019790425918,0.30900949271312134,0.5431901029977796,5
AF,8,0.9525816612837372,0.016370465777842236,0.6120609427114988,0.3028050596234423,0.5511901029977796,5
AF,9,0.9567413552033767,0.015704719585995314,0.6297870493433734,0.36990222083528373,0.5671901029977796,5
AF,10,0.9598176173723996,0.015394583112027863,0.6391356588041464,0.38197593104569855,0.5711901029977796,5
AF,11,0.9625168259616961,0.015064476070017542,0.6505767063304104,0.38513309430682313,0.5871901029977795,5
AF,12,0.9645293293945535,0.014583098221850796,0.6584246182877475,0.3704876532320161,0.5911901029977795,5
AF,13,0.9662202563130642,0.014217505941200605,0.6704438861008322,0.3821065117483501,0.6151901029977795,5
AF,14,0.967875496132749,0.013697872831082291,0.6770126274882415,0.40024185209373203,0.6151901029977795,5
AF,15,0.9700267715894105,0.01260267041443528,0.6915278989390197,0.4178491724558676,0.6111901029977795,5
AF,16,0.9712970760930062,0.012185222703499001,0.692069780377832,0.42861398422020364,0.6231901029977795,5
AF,17,0.9724164580846797,0.011923249596506631,0.7081939328928641,0.40659028484983456,0.6231901029977795,5
AF,18,0.9740599483948845,0.012098302055581859,0.7199381669664506,0.3953429027113237,0.6271901029977796,5
AF,19,0.9748935579231395,0.012069475877916463,0.7268269707694978,0.4163485651603285,0.6271901029977796,5
AF,20,0.9758859549922363,0.011757175735154989,0.7313058169537141,0.42417222701466867,0.6351901029977796,5
AF,21,0.9768386969447308,0.011558849969615863,0.740021250925192,0.4486922901144362,0.6391901029977796,5
AF,22,0.9775373813379946,0.011268872799778333,0.7440757189905318,0.43226956672697037,0.6431901029977796,5
AF,23,0.9784228215321352,0.010629140942414106,0.7487413231982332,0.4330563360489322,0.6511901029977796,5
AF,24,0.9790183374632045,0.010304498966294467,0.7507885319663937,0.44660469907293854,0.6551901029977796,5
AF,25,0.9795661995892055,0.009998583804372024,0.7526561788304088,0.43803559454812213,0.6551901029977796,5
AF,26,0.9800862730601875,0.009829821499750317,0.7576946659768302,0.4493405906789841,0.6471901029977796,5
AF,27,0.9805586927261013,0.009687053598450688,0.7611618436004063,0.45148938979133124,0.6551901029977796,5
AF,28,0.9809596212422612,0.009540728185452091,0.7642401467389778,0.4504717412603469,0.6591901029977796,5
AF,29,0.9813129043070745,0.00939525686606172,0.7716215941391227,0.46695557626592105,0.6631901029977796,5
AF,30,0.9818051515312893,0.009132090500351532,0.7712641990822847,0.46496233953584226,0.6671901029977796,5
AF,31,0.9821663789853778,0.008995792399303605,0.7722648306309927,0.46754293140258046,0.6631901029977796,5
AF,32,0.9824759887934824,0.00891196610561806,0.77348918929311,0.46260909952158036,0.6631901029977796,5
AF,33,0.9827141492204412,0.008826972970543977,0.777614961464402,0.4781957537199256,0.6671901029977796,5
AF,34,0.9829681775416459,0.008725900720741968,0.7787555794113175,0.4969659971005396,0.6671901029977796,5
AF,35,0.9831864811722777,0.008648944460179853,0.7805343614083453,0.504103293934967,0.6671901029977796,5
AF,36,0.9833690851735015,0.008588331024583763,0.7765002691300642,0.4945606314762131,0.6791901029977796,5
AF,37,0.983500058998159,0.008583298473812517,0.7781708882304412,0.5008645814279618,0.6791901029977796,5
AF,38,0.9836469174245058,0.008570326326279692,0.7793352669563772,0.5169000880153415,0.6831901029977796,5
AF,39,0.9837898287173801,0.008503270261725976,0.7799048307837593,0.5148880141708404,0.6871901029977796,5
AF,40,0.9838970027890988,0.008467611468944102,0.7826651902203918,0.5203298247845581,0.6871901029977796,5
AF,41,0.9840280100286428,0.008418486842433511,0.7843914639395384,0.523314713683882,0.6871901029977796,5
AF,42,0.9841153314808956,0.00841416916324099,0.7861818166960359,0.5199053992122115,0.6871901029977796,5
AF,43,0.9841748601012681,0.008430553506718123,0.7853731817188286,0.5102629395941933,0.6831901029977796,5
AF,44,0.9842661328638542,0.008436569971578675,0.7833825914681958,0.51878913480976,0.6831901029977796,5
