label,latent_idx,n_positive,n_negative,prevalence,pos_mean,neg_mean,mean_diff,cohens_d,abs_cohens_d,auc,directional_auc,auc_effect,p_value,significant_fdr,precision_at_10,precision_lift_at_10,precision_at_50,precision_lift_at_50,association_rank,stable_edge,positive_support,negative_boundary,edge_type,formal_edge_weight,candidate_source,candidate_order
RES,12560,416,4602,0.082901554404145,0.020723782,0.1978912,-0.17716742,-0.36094293,0.36094293,0.41807282,0.5819272,0.16385436,0.0,True,0.0,-0.08290155,0.0,-0.08290155,25,False,False,False,filtered_topk,0.0,filtered_top200,25
RES,12544,416,4602,0.082901554404145,0.029606747,0.15499672,-0.12538998,-0.36073205,0.36073205,0.41831154,0.58168846,0.16337693,2.934809e-34,True,0.0,-0.08290155,0.02,-0.06290156,26,False,False,False,filtered_topk,0.0,filtered_top200,26
RES,2767,416,4602,0.082901554404145,0.051325873,0.012199604,0.03912627,0.3566488,0.3566488,0.52371645,0.52371645,0.0474329,9.2522576e-05,True,0.3,0.21709846,0.4,0.31709844,27,False,False,False,filtered_topk,0.0,filtered_top200,27
RES,21125,416,4602,0.082901554404145,0.008624737,0.11235095,-0.10372621,-0.35587075,0.35587075,0.4368327,0.56316733,0.12633461,0.0,True,0.0,-0.08290155,0.0,-0.08290155,28,False,False,False,filtered_topk,0.0,filtered_top200,28
RES,29484,416,4602,0.082901554404145,0.08523794,0.21049994,-0.12526199,-0.3544464,0.3544464,0.41264537,0.58735466,0.17470926,1.1950556999999999e-19,True,0.0,-0.08290155,0.0,-0.08290155,29,False,False,False,filtered_topk,0.0,filtered_top200,29
RES,6573,416,4602,0.082901554404145,0.12576999,0.26132998,-0.13555999,-0.3532102,0.3532102,0.40688124,0.5931188,0.18623751,7.953056500000001e-16,True,0.2,0.11709845,0.1,0.01709845,30,False,False,False,filtered_topk,0.0,filtered_top200,30
RES,13690,416,4602,0.082901554404145,0.106173,0.2026938,-0.096520804,-0.35173288,0.35173288,0.4126464,0.5873536,0.17470717,2.1963329000000003e-16,True,0.0,-0.08290155,0.02,-0.06290156,31,False,False,False,filtered_topk,0.0,filtered_top200,31
RES,26319,416,4602,0.082901554404145,0.33409235,0.15328848,0.18080387,0.35091776,0.35091776,0.55786884,0.55786884,0.11573768,2.0718755e-07,True,0.0,-0.08290155,0.08,-0.002901554,32,False,False,False,filtered_topk,0.0,filtered_top200,32
RES,23183,416,4602,0.082901554404145,0.013136644,0.17726116,-0.16412452,-0.35002714,0.35002714,0.43554434,0.5644556,0.12891132,0.0,True,0.1,0.01709845,0.02,-0.06290156,33,False,False,False,filtered_topk,0.0,filtered_top200,33
RES,6058,416,4602,0.082901554404145,0.34668908,0.5659776,-0.2192885,-0.34741098,0.34741098,0.4061604,0.5938396,0.18767917,8.792794e-15,True,0.0,-0.08290155,0.04,-0.042901553,34,False,False,False,filtered_topk,0.0,filtered_top200,34
