label,n_feature_cards,n_behavior_components,n_nonbehavior_components,n_all_representation_components,n_behavior_assigned,n_behavior_unassigned,n_nonbehavior_assigned,n_nonbehavior_isolated,n_affective_content,n_behavioral_function,n_linguistic_structure,n_surface_artifact,n_topic,n_unclear_or_mixed
RE,54,5,5,10,24,5,23,2,0,29,21,1,0,3
RES,15,2,2,4,6,1,6,2,0,7,4,0,0,4
REC,47,4,3,7,23,6,15,3,0,29,14,1,0,3
QU,26,3,3,6,17,2,7,0,0,19,7,0,0,0
QUO,32,3,2,5,20,2,9,1,0,22,10,0,0,0
QUC,45,4,4,8,30,0,14,1,0,30,13,0,0,2
GI,26,2,5,7,5,1,20,0,0,6,3,0,17,0
SU,31,3,4,7,12,6,9,4,5,18,5,0,0,3
AF,27,3,3,6,12,2,12,1,6,14,7,0,0,0
